BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
3.735303702663308,0.818182,95.4,0.0,4.5685062016165,0.0,0.166667,0.0,0.08004239998118148,0.0,0.0,1.0986122886681098,6.90875477931522,5.312230547798351,4.945277144710759,0.0,12
8.07198906965229,0.909091,0.0,0.0,0.0,8.77089628414314,0.0,0.0,0.0,0.25,1.6094379124341003,0.0,8.853808274977197,8.319725329557853,6.978530763203816,0.20067051364395275,12
7.82250436793527,1.0,773.17,6.651791487715673,0.0,0.0,1.0,0.6931471805599453,0.0,0.0,0.0,2.5649493574615367,8.922791623969637,6.434653643065494,6.434653643065494,0.0,12
7.419183046623112,0.636364,1499.0,7.313220387090301,0.0,5.331694196081131,0.083333,0.08004239998118148,0.0,0.083333,0.6931471805599453,0.6931471805599453,8.922791623969637,0.0,0.0,0.0,12
6.70773522569534,1.0,16.0,2.833213344056216,0.0,0.0,0.083333,0.08004239998118148,0.0,0.0,0.0,0.6931471805599453,7.0909098220799835,6.521114029626576,5.5044825455607045,0.0,12
7.5015398929484585,1.0,1333.28,0.0,7.1961470995031585,0.0,0.666667,0.0,0.45953211885210227,0.0,0.0,2.1972245773362196,7.496097345175956,7.244982780319138,7.244982780319138,0.0,12
6.442955376434953,1.0,7091.01,8.764620296057728,6.535792642927974,0.0,1.0,0.6931471805599453,0.6931471805599453,0.0,0.0,4.174387269895637,9.510519035757246,8.757046643926731,5.293635895542641,0.6931471805599453,12
7.509144970103254,1.0,436.2,0.0,6.080390756302384,0.0,1.0,0.0,0.6931471805599453,0.0,0.0,2.5649493574615367,7.741099090035366,6.522188502413885,6.278585193239496,0.0,12
6.92355625642517,1.0,861.49,6.496005463406834,5.303304908059076,0.0,0.333333,0.08004239998118148,0.22314355131420976,0.0,0.0,1.791759469228055,8.853808274977197,6.535645496995635,5.7460862795529755,0.0,12
5.031913792542936,0.545455,1281.6,7.156644546714762,0.0,0.0,0.166667,0.15415096554150312,0.0,0.0,0.0,1.3862943611198906,9.305741456739435,7.06113759883932,4.618108740719055,0.0,12
7.16559002295018,1.0,920.12,0.0,6.8255903209275,0.0,1.0,0.0,0.6931471805599453,0.0,0.0,2.5649493574615367,7.0909098220799835,6.988690825187471,6.988690825187471,0.0,12
6.448564569245062,0.818182,1492.18,7.308663352897687,0.0,0.0,0.25,0.22314355131420976,0.0,0.0,0.0,1.9459101490553132,7.601402334583733,6.560491096026781,5.053369500772936,0.0,12
7.325101934452095,1.0,3217.99,7.824537889863976,6.577527505058253,0.0,1.0,0.22314355131420976,0.6505877400541776,0.0,0.0,3.295836866004329,8.006700845440367,6.412251160861846,6.196865654011144,0.22314355131420976,12
6.827296968040859,1.0,2137.93,6.042537817291983,7.44948055322358,0.0,0.75,0.15415096554150312,0.5596157879354227,0.0,0.0,3.295836866004329,8.922791623969637,7.412698496269839,5.5299765011453,0.08004239998118148,12
7.927963670337596,1.0,0.0,0.0,0.0,5.851660350090109,0.0,0.0,0.0,0.083333,0.6931471805599453,0.0,8.006700845440367,6.692887357486858,6.692887357486858,0.0,12
8.83742181644191,1.0,1611.7,0.0,7.38566507198647,7.741746975288393,0.5,0.0,0.4054651081081644,0.166667,1.6094379124341003,2.4849066497880004,8.987321812850125,7.598118225657629,7.598118225657629,0.0,12
7.636787979616954,0.875,0.0,0.0,0.0,7.932101784121888,0.0,0.0,0.0,0.25,1.3862943611198906,0.0,8.006700845440367,5.973744882038962,5.933781489490081,0.0,8
3.739798042057795,0.454545,519.0,0.0,6.253828811575473,0.0,0.416667,0.0,0.2876818224517498,0.0,0.0,2.1972245773362196,7.824445930877619,5.543577188189688,4.306807558934665,0.22314355131420976,12
7.59592621253726,1.0,504.35,5.117993812416755,5.827032023149767,0.0,0.666667,0.08004239998118148,0.45953211885210227,0.0,0.0,2.302585092994046,9.472781556562168,7.451147239761315,6.614207228607001,0.0,12
8.182830589190715,1.0,398.64,0.0,5.990564141864818,0.0,1.0,0.0,0.6931471805599453,0.0,0.0,2.5649493574615367,8.294299608857235,6.96127752820317,6.96127752820317,0.0,12
7.609705937961825,1.0,176.68,0.0,5.179984179586172,0.0,0.666667,0.0,0.5108258237659706,0.0,0.0,2.1972245773362196,7.601402334583733,5.411952254970081,5.411952254970081,0.0,12
