uranium_lead_ratio,carbon_14_ratio,radioactive_decay_series,stratigraphic_layer_depth,geological_period,paleomagnetic_data,inclusion_of_other_fossils,isotopic_composition,surrounding_rock_type,stratigraphic_position,fossil_size,fossil_weight,age
0.738061228375223,0.4877072421825824,0.9078835874218232,91.17,2,0,0,0.9159513884026408,0,1,50.65,432.0,0.39763934824164826
0.5600962062491213,0.3417380543473547,1.1213015733880922,165.44,0,0,0,0.8039680197972794,1,2,48.85,353.29,0.40359660567810585
0.4247727742702627,0.2184934689992139,0.103855459095781,218.98,0,0,1,0.7924405062482458,3,0,37.66,371.33,0.3972044381062192
0.3499581310333525,0.7046491886504214,0.3836167357011368,51.09,8,0,1,0.0746363778059943,1,0,39.1,232.84,0.2631712028805211
0.8868112419177792,0.777493825978112,0.5932538141276905,313.72,3,0,1,1.6466404542148307,3,2,90.84,277.67,0.6372849470522196
1.079099063604517,0.5895272448830222,0.5734660488090557,164.37,4,0,1,1.3915732548978594,1,0,51.89,312.85,0.744323411313732
0.4675787777496756,0.6578902666825758,0.20516952693387,197.56,0,0,1,0.5140123745479614,1,0,43.12,426.17,0.43412122867170355
0.3449638273931234,0.8726605884426992,0.6887718820607761,136.4,5,0,1,0.0036717671431145,0,0,96.82,454.15,0.32136824751443804
0.4073114116126324,0.7939690519944627,0.1846024689476848,103.81,3,0,1,0.6904267154005779,0,2,44.56,208.19,0.2619271576094102
0.3026387531950998,0.0282245906653836,0.3388703602455157,215.61,0,0,1,0.0164926801755911,2,1,98.64,157.63,0.24638164881512273
0.2868001455754184,0.5255145877172219,0.6100440995361227,136.32,10,1,0,1.2803353500612595,2,0,51.88,651.58,0.2930080610087893
0.6423540163310683,0.1601374042790563,0.6234096619072798,311.1,7,1,1,0.3976149101210705,2,0,63.44,491.3,0.5550970456453359
0.2512112183231728,0.2396889745851743,0.7203875959394346,8.52,2,1,1,1.1517592896889646,1,0,54.7,540.59,0.1612606325413923
0.4102087670247538,0.4588584736332056,0.7419320370460727,104.72,3,1,1,0.7033296262653517,2,0,49.64,167.69,0.37522630498326104
0.5703763534215538,0.3729535821176667,0.3316211952255123,164.77,0,0,0,1.477926628234512,3,1,5.73,254.35,0.3698455563309767
0.4535965464757807,0.6835565904626982,1.1989657760667531,173.53,0,0,1,0.8441750263210941,2,0,45.5,69.89,0.4696523753173327
0.6512356751577866,0.4606319337661966,0.2542409329498403,401.74625000000003,7,0,1,0.5675832948452266,3,0,156.99,399.97,0.6192108909589263
0.8247813505566428,0.4045054038138985,0.649999201517615,174.75,10,1,0,0.6076057697078241,1,1,111.2,200.39,0.5170272375115049
0.4014058423726469,0.4692598110604198,0.8268639242614239,119.34,0,1,0,0.975198272603206,0,0,119.44,452.49,0.3761466962000991
0.0815957063190883,0.1737816343049756,0.1353013859088856,78.95,10,0,1,0.9562846820464264,2,0,28.92,83.64,0.07694875140334376
0.6528624417018811,0.5696790888699419,1.014890003047721,91.6,8,0,1,0.9329009889246332,2,1,44.51,537.09,0.3877678995863296
0.3863080235677126,0.2763167106238536,0.5667141085741088,165.14,3,0,0,2.060106761297571,1,0,57.32,580.33,0.3599538792972662
0.5831651054808669,0.4140139629518636,0.4732650350569418,277.79,7,0,1,1.610877862215346,2,0,116.06,160.98,0.4948569347938223
0.7574990746295076,0.4361892819351282,0.4170557889513239,217.25,8,1,1,1.1149548788660235,0,1,61.81,152.84,0.5036663935835584
0.8322720806460774,0.2135206831618229,0.4356727189471009,66.17,7,0,0,0.668317968321084,1,0,88.25,293.94,0.4853091401927765
0.5682724409390167,0.6270977791071807,0.7029907079577166,90.03,10,0,0,0.484355887761259,2,0,139.61,287.67,0.4062060664906798
0.2642601729500204,0.2144482239797514,0.6991590184378488,260.63,10,1,1,0.8352622346364618,2,0,40.64,462.87,0.35610037321358134
0.485778227908422,0.1074949844102835,0.8270214670148753,52.51,4,0,1,1.3347919854605734,2,1,49.2,9.14,0.26157316098754946
